Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P74226	rpsJ rps10 sll1101	rpsJ	30S ribosomal protein S10	105	12,037		syn:sll1101;
P52640	rsgA engC sll0898	rsgA	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	369	41,891	3.6.1.-	syn:sll0898;
P73460	rsmH mraW sll1144	rsmH	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	305	34,386	2.1.1.199	syn:sll1144;
P74653	vte5 slr1652	vte5	Phytol kinase (EC 2.7.1.182)	233	24,737	2.7.1.182	syn:slr1652;
P15819	psbK sml0005	psbK	Photosystem II reaction center protein K (PSII-K)	45	5,112		syn:sml0005;
P73300	rpmJ rpl36 sml0006	rpmJ	50S ribosomal protein L36	38	4,455		syn:sml0006;
P74071	rpsB rps2 sll1260	rpsB	30S ribosomal protein S2	269	30,150		syn:sll1260;
P73307	rpsH rps8 sll1809	rpsH	30S ribosomal protein S8	133	14,666		syn:sll1809;
Q55506	ruvC sll0896	ruvC	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	167	18,193	3.1.22.4	syn:sll0896;
P52056	slr0556		Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	218	24,038		syn:slr0556;
P72780	hhoA sll1679	hhoA	Putative serine protease HhoA	394	41,336		syn:sll1679;
P74528	murC slr1423	murC	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	505	54,514	6.3.2.8	syn:slr1423;
P74657	murG slr1656	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	38,293	2.4.1.227	syn:slr1656;
P52997	panB slr0526	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	260	27,786	2.1.2.11	syn:slr0526;
Q55891	pcyA slr0116	pcyA	Phycocyanobilin:ferredoxin oxidoreductase (EC 1.3.7.5)	248	28,129	1.3.7.5	syn:slr0116;
P73354	htrA slr1204	htrA	Putative serine protease HtrA	452	47,656		syn:slr1204;
P72849	pbsA1 sll1184	pbsA1	Heme oxygenase 1 (EC 1.14.14.18)	240	27,051	1.14.14.18	syn:sll1184;
Q55143	dgkA slr0054	dgkA	Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK)	175	18,248	2.7.1.107	syn:slr0054;
Q55469	murE slr0528	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	505	54,601	6.3.2.13	syn:slr0528;
Q55694	mnmG gidA sll0202	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	635	70,891		syn:sll0202;
Q55281	mntA sll1599	mntA	Manganese transport system ATP-binding protein MntA	260	28,721		syn:sll1599;
P26525	ndhI sll0520	ndhI	NAD(P)H-quinone oxidoreductase subunit I (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit I) (NDH-1 subunit I) (NDH-I)	193	22,151	7.1.1.-	syn:sll0520;
P73265	nrtD sll1082	nrtD	Nitrate import ATP-binding protein NrtD (EC 7.3.2.4)	266	29,920	7.3.2.4	syn:sll1082;
P73451	nrtB sll1451	nrtB	Nitrate import permease protein NrtB	275	29,720		syn:sll1451;
P09190	psbE ssr3451	psbE	Cytochrome b559 subunit alpha (PSII reaction center subunit V)	81	9,449		syn:ssr3451;
P74397	priA sll0270	priA	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)	831	93,307	3.6.4.-	syn:sll0270;
Q55643	ispH lytB slr0348	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	379	42,415	1.17.7.4	syn:slr0348;
P77962	glyA sll1931	glyA	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	427	46,260	2.1.2.1	syn:sll1931;
P74646	kaiC slr0758	kaiC	Circadian clock protein kinase KaiC (EC 2.7.11.1)	519	58,294	2.7.11.1	syn:slr0758;
P73534	pyk2 sll1275	pyk2	Pyruvate kinase 2 (PK 2) (EC 2.7.1.40)	591	62,986	2.7.1.40	syn:sll1275;
P73571	aat sll0869	aat	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	198	22,933	2.3.2.6	syn:sll0869;
Q55595	gloA slr0381	gloA	Probable lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	131	14,665	4.4.1.5	syn:slr0381;
P26522	ndhA sll0519	ndhA	NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A)	372	40,548	7.1.1.-	syn:sll0519;
P73720	opcA slr1734	opcA	Putative OxPP cycle protein OpcA	475	52,034		syn:slr1734;
P72785	malQ sll1676	malQ	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)	505	57,180	2.4.1.25	syn:sll1676;
P74199	hik34 slr1285	hik34	Sensor histidine kinase Hik34 (EC 2.7.13.3)	464	52,623	2.7.13.3	syn:slr1285;
P73728	sll1621		Peroxiredoxin sll1621 (Prx) (EC 1.11.1.27) (Glutathione-dependent peroxiredoxin)	189	21,167	1.11.1.27	syn:sll1621;
P74367	psb27 slr1645	psb27	Photosystem II lipoprotein Psb27 (Photosystem II 11 kDa protein)	134	14,786		syn:slr1645;
P53579	slr0918		Methionine aminopeptidase A (MAP A) (MetAP A) (EC 3.4.11.18) (Peptidase M)	253	27,235	3.4.11.18	syn:slr0918;
Q55081	phrA phr slr0854	phrA	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	488	56,026	4.1.99.3	syn:slr0854;
P48958	rpmG rpl33 ssr1398	rpmG	50S ribosomal protein L33	65	7,549		syn:ssr1398;
P73319	rplD rpl4 sll1800	rplD	50S ribosomal protein L4	210	23,356		syn:sll1800;
P73314	rpsC rps3 sll1804	rpsC	30S ribosomal protein S3	240	27,147		syn:sll1804;
P73891	ssl0452		Phycobilisome degradation protein NblA homolog 1	62	7,193		syn:ssl0452;
P73246	nadD sll1916	nadD	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	200	22,711	2.7.7.18	syn:sll1916;
P73933	plsY sll1973	plsY	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	222	23,534	2.3.1.275	syn:sll1973;
P21697	petE sll0199	petE	Plastocyanin	126	13,146		syn:sll0199;
P73820	prmA sll1909	prmA	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	300	33,699	2.1.1.-	syn:sll1909;
P73071	proB slr2035	proB	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	375	40,160	2.7.2.11	syn:slr2035;
Q55169	rcp1 slr0474	rcp1	Response regulator Rcp1	147	16,609		syn:slr0474;
P73303	rplO rpl15 sll1813	rplO	50S ribosomal protein L15	147	15,195		syn:sll1813;
Q55168	cph1 slr0473	cph1	Phytochrome-like protein Cph1 (EC 2.7.13.3) (Bacteriophytochrome Cph1) (Light-regulated histidine kinase 1)	748	84,233	2.7.13.3	syn:slr0473;
Q55621	purF sll0757	purF	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	495	53,670	2.4.2.14	syn:sll0757;
P36265	nusG sll1742	nusG	Transcription termination/antitermination protein NusG	205	23,416		syn:sll1742;
P74787	psbT smr0001	psbT	Photosystem II reaction center protein T (PSII-T)	31	3,540		syn:smr0001;
P73305	rplR rpl18 sll1811	rplR	50S ribosomal protein L18	120	13,204		syn:sll1811;
P73955	nadK2 sll1415	nadK2	NAD kinase 2 (EC 2.7.1.23) (ATP-dependent NAD kinase 2)	307	33,776	2.7.1.23	syn:sll1415;
P74578	nadA sll0622	nadA	Quinolinate synthase A (EC 2.5.1.72)	318	35,422	2.5.1.72	syn:sll0622;
P27372	ndhL ictA ssr1386	ndhL	NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (Inorganic carbon transport protein) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L)	80	9,252	7.1.1.-	syn:ssr1386;
Q55117	menC sll0409	menC	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	320	35,634	4.2.1.113	syn:sll0409;
Q55004	rpmH rpl34 smr0011	rpmH	50S ribosomal protein L34	45	5,261		syn:smr0011;
P05429	psbB slr0906	psbB	Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)	507	55,903		syn:slr0906;
P73788	pstB3 slr1250	pstB3	Phosphate import ATP-binding protein PstB 3 (EC 7.3.2.1) (ABC phosphate transporter 3) (Phosphate-transporting ATPase 3)	271	29,909	7.3.2.1	syn:slr1250;
P74163	pyrB slr1476	pyrB	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	331	36,394	2.1.3.2	syn:slr1476;
P73471	purC slr1226	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	264	29,737	6.3.2.6	syn:slr1226;
P73204	cpcC2 sll1579	cpcC2	Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 2 (LR30)	273	30,797		syn:sll1579;
P36239	rplS rpl19 sll1740	rplS	50S ribosomal protein L19	122	13,786		syn:sll1740;
P74177	rpoC1 slr1265	rpoC1	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	626	70,978	2.7.7.6	syn:slr1265;
P29255	psaB slr1835	psaB	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	731	81,292	1.97.1.12	syn:slr1835;
P74158	suhB sll1383	suhB	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	287	31,297	3.1.3.25	syn:sll1383;
P74101	sll1895		Uncharacterized protein sll1895	696	79,671		syn:sll1895;
P73408	slr1840		Uncharacterized protein slr1840	371	39,231		syn:slr1840;
P72655	slr1128		Uncharacterized protein slr1128	321	35,727		syn:slr1128;
Q55810	slr0090		Uncharacterized protein slr0090	339	38,590		syn:slr0090;
P73889	slr0270		Uncharacterized protein slr0270	106	12,566		syn:slr0270;
Q55142	ybeY slr0053	ybeY	Endoribonuclease YbeY (EC 3.1.-.-)	179	20,075	3.1.-.-	syn:slr0053;
P74368	rnc1 slr1646	rnc1	Ribonuclease 3 1 (EC 3.1.26.3) (Ribonuclease III 1) (RNase III 1)	231	25,712	3.1.26.3	syn:slr1646;
P73316	rpsS rps19 ssl3432	rpsS	30S ribosomal protein S19	92	10,290		syn:ssl3432;
P74261	slr1673		Uncharacterized tRNA/rRNA methyltransferase slr1673 (EC 2.1.1.-)	274	29,701	2.1.1.-	syn:slr1673;
P73771	sll1164		Uncharacterized transporter sll1164	349	38,558		syn:sll1164;
P73627	sll1770		Uncharacterized protein sll1770	585	67,128		syn:sll1770;
P74060	slr0821		Putative sulfur carrier protein slr0821	109	11,694		syn:slr0821;
Q55423	sll0829		Uncharacterized methyltransferase sll0829 (EC 2.1.1.-)	212	23,072	2.1.1.-	syn:sll0829;
P74311	slr0944		Uncharacterized transporter slr0944	383	42,402		syn:slr0944;
P54004	slr0199		Putative glutamine amidotransferase slr0199 (EC 2.4.2.-)	304	33,983	2.4.2.-	syn:slr0199;
P73628	sll1769		Thylakoid protein sll1769	105	11,558		syn:sll1769;
P54371	slr0104		Uncharacterized protein slr0104	811	90,255		syn:slr0104;
P74709	surE sll1108	surE	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	275	30,465	3.1.3.5	syn:sll1108;
P73695	sll1697		Thylakoid-associated protein sll1697	321	34,975		syn:sll1697;
P73836	ssr3402		Uncharacterized protein ssr3402	96	10,673		syn:ssr3402;
P72777	slr1780		Ycf54-like protein	133	15,456		syn:slr1780;
P73152	sll0982		Uncharacterized thylakoid-associated protein sll0982	128	14,283		syn:sll0982;
P77971	sll0944		Uncharacterized protein sll0944	164	18,152		syn:sll0944;
Q55613	trhO sll0765	trhO	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)	278	31,166	1.14.-.-	syn:sll0765;
P73374	sll1967		Uncharacterized RNA methyltransferase sll1967 (EC 2.1.1.-)	463	51,523	2.1.1.-	syn:sll1967;
Q55774	sll0182		Uncharacterized ABC transporter ATP-binding protein sll0182	661	74,273		syn:sll0182;
Q55371	slr0903		Uncharacterized protein slr0903	145	16,462		syn:slr0903;
P74650	sll0720		Uncharacterized protein sll0720	147	16,960		syn:sll0720;
P74662	sll1547		Putative pre-16S rRNA nuclease (EC 3.1.-.-)	152	16,944	3.1.-.-	syn:sll1547;
Q57208	slr0014		Uncharacterized protein slr0014	234	25,550		syn:slr0014;
P72725	slr1411		Putative nickel insertion protein	422	45,732		syn:slr1411;
Q55397	sll0546		Uncharacterized protein sll0546	111	11,933		syn:sll0546;
Q55153	sll0060		Putative transport protein sll0060	344	38,810		syn:sll0060;
P72979	sll1512		Uncharacterized HTH-type transcriptional regulator sll1512	135	15,248		syn:sll1512;
P74511	slr1949		Thylakoid membrane protein slr1949	212	23,883		syn:slr1949;
P74125	sll1880		UPF0047 protein sll1880	147	16,436		syn:sll1880;
P73327	ureF slr1899	ureF	Urease accessory protein UreF	236	26,277		syn:slr1899;
P74635	slr0753		Uncharacterized transporter slr0753	449	48,004		syn:slr0753;
Q55622	nrdR slr0780	nrdR	Transcriptional repressor NrdR	161	19,173		syn:slr0780;
Q55434	cph2 sll0821	cph2	Phytochrome-like protein cph2 (Bacteriophytochrome cph2)	1276	144,687		syn:sll0821;
P73545	phaP ssl2501	phaP	Phasin PhaP (GA13)	89	10,648		syn:ssl2501;
Q55983	tgt slr0713	tgt	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	374	41,499	2.4.2.29	syn:slr0713;
Q55653	hisS slr0357	hisS	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	447	49,172	6.1.1.21	syn:slr0357;
Q55147	sll0063		Putative transport protein sll0063	395	43,113		syn:sll0063;
Q55680	sll0005		Uncharacterized protein sll0005	681	77,348		syn:sll0005;
P73954	slr1513		Membrane-associated protein slr1513	110	12,007		syn:slr1513;
P73057	slr1847		Nucleoid-associated protein slr1847	114	12,135		syn:slr1847;
P54984	sll0100		Probable hydrolase sll0100 (EC 3.-.-.-)	393	42,657	3.-.-.-	syn:sll0100;
P74458	ssl0259		UPF0150 protein ssl0259	73	7,992		syn:ssl0259;
P72673	slr0729		Thylakoid-associated protein slr0729	101	10,947		syn:slr0729;
P73440	sll1459		Putative 5'-nucleotidase alr3139 (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	225	24,907	3.1.3.5	syn:sll1459;
P73602	sll1783		Uncharacterized protein sll1783	147	16,822		syn:sll1783;
P74063	ycf3 slr0823	ycf3	Photosystem I assembly protein Ycf3	173	19,878		syn:slr0823;
Q55785	ssl0331		Putative membrane protein insertion efficiency factor	79	8,915		syn:ssl0331;
P74607	ssl2874		Putative regulatory protein ssl2874	89	9,869		syn:ssl2874;
P74514	slr0989		Probable transcriptional regulatory protein slr0989	253	27,621		syn:slr0989;
Q55452	sll0036		Uncharacterized protein sll0036	433	45,909		syn:sll0036;
Q55682	slr0021		Putative protease slr0021 (EC 3.4.21.-)	277	30,274	3.4.21.-	syn:slr0021;
P74369	slr1647		UPF0014 membrane protein slr1647	259	28,103		syn:slr1647;
P74360	sll1526		Uncharacterized protein sll1526	506	57,727		syn:sll1526;
P73003	sll1500		UPF0284 protein sll1500	369	38,996		syn:sll1500;
P42350	slr1353		Uncharacterized protein slr1353	291	31,283		syn:slr1353;
P73121	slr1919		Uncharacterized protein slr1919	566	65,079		syn:slr1919;
P42349	sll1242		Uncharacterized methyltransferase sll1242 (EC 2.1.1.-) (ORF N)	536	61,756	2.1.1.-	syn:sll1242;
P74386	ureB sll0420	ureB	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	105	11,382	3.5.1.5	syn:sll0420;
Q55790	slr0074		UPF0051 protein slr0074	480	52,796		syn:slr0074;
P73594	slr1409		WD repeat-containing protein slr1409	326	35,760		syn:slr1409;
P73042	slr1764		Uncharacterized protein slr1764	179	19,423		syn:slr1764;
P72804	slr1796		Thylakoid membrane protein slr1796	201	22,969		syn:slr1796;
P73883	sll0249		Uncharacterized protein sll0249	251	28,880		syn:sll0249;
Q01904	ssr2439		Uncharacterized protein ssr2439	97	10,816		syn:ssr2439;
P72817	sll1654		Universal stress protein Sll1654 (USP Sll1654)	157	16,769		syn:sll1654;
P74168	sll1374		Uncharacterized symporter sll1374	544	60,065		syn:sll1374;
Q04737	slr0751		TPR repeat-containing protein slr0751	248	27,753		syn:slr0751;
P73069	slr2034		Ycf48-like protein	342	37,291		syn:slr2034;
P73126	sll0997		Probable thylakoid lumen protein sll0997	339	37,963		syn:sll0997;
P74306	crtQ slr0940	crtQ	Zeta-carotene desaturase (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase) (Carotene 7,8-desaturase)	489	54,370	1.3.5.6	syn:slr0940;
P72732	sll1319		Uncharacterized transporter sll1319	329	36,454		syn:sll1319;
Q55116	sll0410		Putative esterase sll0410 (EC 3.1.-.-)	166	18,873	3.1.-.-	syn:sll0410;
P73555	sll0875		Uncharacterized membrane protein sll0875	258	27,172		syn:sll0875;
P74034	tsaD gcp slr0807	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	348	37,099	2.3.1.234	syn:slr0807;
P73796	ureA slr1256	ureA	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	100	11,056	3.5.1.5	syn:slr1256;
P73087	slr2045		Uncharacterized membrane protein slr2045	281	30,430		syn:slr2045;
P74786	ssl0294		UPF0426 protein ssl0294	70	7,833		syn:ssl0294;
Q55624	sll0755		Putative peroxiredoxin sll0755 (EC 1.11.1.24) (Thioredoxin reductase)	200	22,510	1.11.1.24	syn:sll0755;
Q55518	sll0528		Putative zinc metalloprotease sll0528 (EC 3.4.24.-)	379	40,465	3.4.24.-	syn:sll0528;
P73412	uvrA slr1844	uvrA	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	970	107,482		syn:slr1844;
P72861	sll0936		Uncharacterized protein sll0936	501	55,202		syn:sll0936;
Q01951	apcA slr2067	apcA	Allophycocyanin alpha chain	161	17,412		syn:slr2067;
P72712	psaK1 psaK ssr0390	psaK1	Photosystem I reaction center subunit PsaK 1 (Photosystem I subunit X 1)	86	8,644		syn:ssr0390;
Q57014	rbpA sll0517	rbpA	Putative RNA-binding protein RbpA	101	10,962		syn:sll0517;
P73826	phaB slr1994	phaB	Acetoacetyl-CoA reductase (EC 1.1.1.36)	240	25,333	1.1.1.36	syn:slr1994;
P32421	ndhD1 ndhD slr0331	ndhD1	NAD(P)H-quinone oxidoreductase chain 4-1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, subunit D-1) (NDH-1, chain 4-1)	525	57,511	7.1.1.-	syn:slr0331;
Q55982	pdxA sll0660	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	349	37,225	1.1.1.262	syn:sll0660;
P73390	phaC phbC slr1830	phaC	Poly(3-hydroxyalkanoate) polymerase subunit PhaC (PHA polymerase) (EC 2.3.1.-) (PHB synthase subunit PhaC) (Poly(3-hydroxybutyrate) polymerase subunit PhaC) (PHB polymerase) (Poly(hydroxyalkanoic acid) synthase subunit PhaC) (PHA synthase) (Polyhydroxyalkanoic acid synthase subunit PhaC)	378	42,961	2.3.1.-	syn:slr1830;
P29254	psaA slr1834	psaA	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	751	82,950	1.97.1.12	syn:slr1834;
P54691	ilvE slr0032	ilvE	Probable branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	305	33,951	2.6.1.42	syn:slr0032;
Q55638	hypF sll0322	hypF	Carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)	767	85,358	6.2.-.-	syn:sll0322;
Q54715	cpcA sll1578	cpcA	C-phycocyanin alpha subunit	162	17,587		syn:sll1578;
P73528	psbZ sll1281	psbZ	Photosystem II reaction center protein Z (PSII-Z)	62	6,734		syn:sll1281;
Q55843	purQ slr0520	purQ	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	224	24,429	6.3.5.3; 3.5.1.2	syn:slr0520;
P73473	prfC slr1228	prfC	Peptide chain release factor 3 (RF-3)	547	61,189		syn:slr1228;
P73315	rplV rpl22 sll1803	rplV	50S ribosomal protein L22	121	13,502		syn:sll1803;
P48959	rpmI rpl35 ssl1426	rpmI	50S ribosomal protein L35	67	7,891		syn:ssl1426;
P72714	ndhB sll0223	ndhB	NAD(P)H-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 2) (NADH-plastoquinone oxidoreductase subunit 2) (NDH-1, subunit 2)	521	55,355	7.1.1.-	syn:sll0223;
P52965	nifJ sll0741	nifJ	Putative pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	1199	131,457	1.2.7.-	syn:sll0741;
P36237	rplK rpl11 sll1743	rplK	50S ribosomal protein L11	141	14,978		syn:sll1743;
P28463	hemA slr1808	hemA	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	427	47,526	1.2.1.70	syn:slr1808;
P72640	hofD slr1120	hofD	Prepilin leader peptidase/N-methyltransferase [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]	269	29,767	3.4.23.43; 2.1.1.-	syn:slr1120;
Q55383	mdh sll0891	mdh	Malate dehydrogenase (EC 1.1.1.37)	324	34,346	1.1.1.37	syn:sll0891;
P10549	psbO sll0427	psbO	Photosystem II manganese-stabilizing polypeptide (MSP)	274	29,912		syn:sll0427;
P73421	recQ slr1536	recQ	ATP-dependent DNA helicase RecQ (EC 3.6.4.12)	478	54,787	3.6.4.12	syn:slr1536;
P72622	msrA1 sll1394	msrA1	Peptide methionine sulfoxide reductase MsrA 1 (Protein-methionine-S-oxide reductase 1) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase 1) (Peptide Met(O) reductase 1)	222	24,209	1.8.4.11	syn:sll1394;
P74393	nhaS2 sll0273	nhaS2	Na(+)/H(+) antiporter NhaS2 (Sodium/proton antiporter NhaS2)	540	58,117		syn:sll0273;
Q55364	norM slr0896	norM	Probable multidrug resistance protein NorM (Multidrug-efflux transporter)	461	49,651		syn:slr0896;
P73077	parC sll1941	parC	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	920	101,163	5.6.2.2	syn:sll1941;
P72717	petN sml0004	petN	Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII)	29	3,328		syn:sml0004;
P74782	pyrD slr1418	pyrD	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	381	41,559	1.3.5.2	syn:slr1418;
Q55167	proA2 sll0461	proA2	Gamma-glutamyl phosphate reductase 2 (GPR 2) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase 2) (Glutamyl-gamma-semialdehyde dehydrogenase 2) (GSA dehydrogenase 2)	420	45,772	1.2.1.41	syn:sll0461;
P72986	psaM smr0005	psaM	Photosystem I reaction center subunit XII (PSI-M)	31	3,380		syn:smr0005;
Q55356	psb28 psbW sll1398	psb28	Photosystem II reaction center Psb28 protein (Photosystem II 13 kDa protein) (Photosystem II reaction center W protein)	112	12,590		syn:sll1398;
